항목명,저장 계층,엔티티,필드,데이터 타입,Key,Cloud 동기화,보관 기간,원본 파일,모델 구분
DEVICES.updated_at,Supabase,DEVICES,updated_at,timestamptz,,서버 원본,계정·권한 정책,supabase/migrations/202607160001_gate_a_membership.sql,물리 테이블
CLOUD_SCHEDULES.user_id,Supabase,CLOUD_SCHEDULES,user_id,uuid,PK,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_SCHEDULES.entity_id,Supabase,CLOUD_SCHEDULES,entity_id,text,PK,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_SCHEDULES.payload,Supabase,CLOUD_SCHEDULES,payload,jsonb,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_SCHEDULES.version,Supabase,CLOUD_SCHEDULES,version,bigint,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_SCHEDULES.device_id,Supabase,CLOUD_SCHEDULES,device_id,text,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_SCHEDULES.deleted_at,Supabase,CLOUD_SCHEDULES,deleted_at,timestamptz,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_SCHEDULES.created_at,Supabase,CLOUD_SCHEDULES,created_at,timestamptz,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_SCHEDULES.updated_at,Supabase,CLOUD_SCHEDULES,updated_at,timestamptz,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_SETTINGS.user_id,Supabase,CLOUD_SETTINGS,user_id,uuid,PK,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_SETTINGS.entity_id,Supabase,CLOUD_SETTINGS,entity_id,text,PK,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_SETTINGS.payload,Supabase,CLOUD_SETTINGS,payload,jsonb,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_SETTINGS.version,Supabase,CLOUD_SETTINGS,version,bigint,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_SETTINGS.device_id,Supabase,CLOUD_SETTINGS,device_id,text,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_SETTINGS.deleted_at,Supabase,CLOUD_SETTINGS,deleted_at,timestamptz,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_SETTINGS.created_at,Supabase,CLOUD_SETTINGS,created_at,timestamptz,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_SETTINGS.updated_at,Supabase,CLOUD_SETTINGS,updated_at,timestamptz,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_FOCUS_SESSIONS.user_id,Supabase,CLOUD_FOCUS_SESSIONS,user_id,uuid,PK,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_FOCUS_SESSIONS.entity_id,Supabase,CLOUD_FOCUS_SESSIONS,entity_id,text,PK,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_FOCUS_SESSIONS.payload,Supabase,CLOUD_FOCUS_SESSIONS,payload,jsonb,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_FOCUS_SESSIONS.version,Supabase,CLOUD_FOCUS_SESSIONS,version,bigint,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_FOCUS_SESSIONS.device_id,Supabase,CLOUD_FOCUS_SESSIONS,device_id,text,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_FOCUS_SESSIONS.deleted_at,Supabase,CLOUD_FOCUS_SESSIONS,deleted_at,timestamptz,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_FOCUS_SESSIONS.created_at,Supabase,CLOUD_FOCUS_SESSIONS,created_at,timestamptz,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_FOCUS_SESSIONS.updated_at,Supabase,CLOUD_FOCUS_SESSIONS,updated_at,timestamptz,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_REPORTS.user_id,Supabase,CLOUD_REPORTS,user_id,uuid,PK,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_REPORTS.entity_id,Supabase,CLOUD_REPORTS,entity_id,text,PK,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_REPORTS.payload,Supabase,CLOUD_REPORTS,payload,jsonb,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_REPORTS.version,Supabase,CLOUD_REPORTS,version,bigint,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_REPORTS.device_id,Supabase,CLOUD_REPORTS,device_id,text,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_REPORTS.deleted_at,Supabase,CLOUD_REPORTS,deleted_at,timestamptz,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_REPORTS.created_at,Supabase,CLOUD_REPORTS,created_at,timestamptz,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_REPORTS.updated_at,Supabase,CLOUD_REPORTS,updated_at,timestamptz,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_LEARNING_DAYS.user_id,Supabase,CLOUD_LEARNING_DAYS,user_id,uuid,PK,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_LEARNING_DAYS.date_key,Supabase,CLOUD_LEARNING_DAYS,date_key,date,PK,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_LEARNING_DAYS.actual_focus_minutes,Supabase,CLOUD_LEARNING_DAYS,actual_focus_minutes,integer,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_LEARNING_DAYS.completed_schedule_count,Supabase,CLOUD_LEARNING_DAYS,completed_schedule_count,integer,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_LEARNING_DAYS.achievement_rate,Supabase,CLOUD_LEARNING_DAYS,achievement_rate,integer,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_LEARNING_DAYS.learning_score,Supabase,CLOUD_LEARNING_DAYS,learning_score,integer,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_LEARNING_DAYS.intensity,Supabase,CLOUD_LEARNING_DAYS,intensity,smallint,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_LEARNING_DAYS.payload,Supabase,CLOUD_LEARNING_DAYS,payload,jsonb,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_LEARNING_DAYS.version,Supabase,CLOUD_LEARNING_DAYS,version,bigint,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_LEARNING_DAYS.device_id,Supabase,CLOUD_LEARNING_DAYS,device_id,text,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_LEARNING_DAYS.deleted_at,Supabase,CLOUD_LEARNING_DAYS,deleted_at,timestamptz,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_LEARNING_DAYS.created_at,Supabase,CLOUD_LEARNING_DAYS,created_at,timestamptz,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
CLOUD_LEARNING_DAYS.updated_at,Supabase,CLOUD_LEARNING_DAYS,updated_at,timestamptz,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
SYNC_MUTATIONS.mutation_id,Supabase,SYNC_MUTATIONS,mutation_id,uuid,PK,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
SYNC_MUTATIONS.user_id,Supabase,SYNC_MUTATIONS,user_id,uuid,PK,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
SYNC_MUTATIONS.entity_type,Supabase,SYNC_MUTATIONS,entity_type,text,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
SYNC_MUTATIONS.entity_id,Supabase,SYNC_MUTATIONS,entity_id,text,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
SYNC_MUTATIONS.operation,Supabase,SYNC_MUTATIONS,operation,text,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
SYNC_MUTATIONS.expected_version,Supabase,SYNC_MUTATIONS,expected_version,bigint,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
SYNC_MUTATIONS.result_status,Supabase,SYNC_MUTATIONS,result_status,text,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
SYNC_MUTATIONS.result_record,Supabase,SYNC_MUTATIONS,result_record,jsonb,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
SYNC_MUTATIONS.device_id,Supabase,SYNC_MUTATIONS,device_id,text,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
SYNC_MUTATIONS.created_at,Supabase,SYNC_MUTATIONS,created_at,timestamptz,,서버 원본,최대 365일 정책,supabase/migrations/202607160002_gate_b_cloud_sync.sql,물리 테이블
AI_RATE_LIMITS.user_id,Supabase,AI_RATE_LIMITS,user_id,uuid,PK,서버 원본,1분 quota window,supabase/migrations/202607160003_gate_c_ai_writing.sql; supabase/migrations/202607160004_gate_d_content_summary.sql,물리 테이블
AI_RATE_LIMITS.task,Supabase,AI_RATE_LIMITS,task,text,PK,서버 원본,1분 quota window,supabase/migrations/202607160003_gate_c_ai_writing.sql; supabase/migrations/202607160004_gate_d_content_summary.sql,물리 테이블
AI_RATE_LIMITS.window_started_at,Supabase,AI_RATE_LIMITS,window_started_at,timestamptz,,서버 원본,1분 quota window,supabase/migrations/202607160003_gate_c_ai_writing.sql; supabase/migrations/202607160004_gate_d_content_summary.sql,물리 테이블
AI_RATE_LIMITS.request_count,Supabase,AI_RATE_LIMITS,request_count,integer,,서버 원본,1분 quota window,supabase/migrations/202607160003_gate_c_ai_writing.sql; supabase/migrations/202607160004_gate_d_content_summary.sql,물리 테이블
AI_RATE_LIMITS.updated_at,Supabase,AI_RATE_LIMITS,updated_at,timestamptz,,서버 원본,1분 quota window,supabase/migrations/202607160003_gate_c_ai_writing.sql; supabase/migrations/202607160004_gate_d_content_summary.sql,물리 테이블
